"","positive","score"
"132","benevolent",1
"133","benevol",1
"134","benifits",1
"135","benven",1
"136","bizzeff",1
"137","bland",1
"138","bollent",1
"139","bontà?",1
"140","bonus",1
"141","brav",1
"142","brezz",1
"143","brillant",1
"144","brillantezz",1
"145","brill",1
"146","brios",1
"147","buon-compleann",1
"148","buongiorn",1
"149","buon-volont",1
"150","buon-intenzion",1
"151","buon",1
"152","buonissim",1
"153","bon",1
"154","buonsens",1
"155","cald",1
"156","calm",1
"157","calmant",1
"158","calor",1
"159","campion",1
"160","capolavor",1
"161","caratterist",1
"162","cariner",1
"163","carin",1
"164","carism",1
"165","carismat",1
"166","caritatevol",1
"167","car",1
"168","cast",1
"169","cavalleresc",1
"170","cavaller",1
"171","celebr",1
"172","celer",1
"173","celest",1
"174","cerimon",1
"175","cherubin",1
"176","chiaramente?",1
"177","chiarezz",1
"178","ciel",1
"179","civilizz",1
"180","civilt",1
"181","coccol",1
"182","coerent",1
"183","coerenz",1
"184","coes",1
"185","colorato?",1
"186","comfort",1
"187","commovent",1
"188","comod",1
"189","competent",1
"190","competit",1
"191","compiacente?",1
"192","complement",1
"193","compliment",1
"194","compl",1
"195","comprens",1
"196","con-affett",1
"197","con-ammir",1
"198","con-gioi",1
"199","con-gratitudin",1
"200","con-success",1
"201","con-tutt-il-cuor",1
"202","concil",1
"203","concis",1
"204","confid",1
"205","confortevol",1
"206","confort",1
"207","congenial",1
"208","congratul",1
"209","consolid",1
"210","contentezz",1
"211","content",1
"212","continu",1
"213","convenient",1
"214","convincent",1
"215","convint",1
"216","coolfin qu",1
"217","cooper",1
"218","coragg",1
"219","cordial",1
"220","corrett",1
"221","cortes",1
"222","coscienz",1
"223","cos-buon",1
"224","cos-content",1
"225","costant",1
"226","costanz",1
"227","costrutt",1
"228","creat",1
"229","credibil",1
"230","cred",1
"231","croccant",1
"232","cur",1
"233","da-record",1
"234","deferent",1
"235","deginified",1
"236","degn",1
"237","degn-di-not",1
"238","delicatezz",1
"239","delic",1
"240","deliz",1
"241","desider",1
"242","destin",1
"243","destr",1
"244","devoto?",1
"245","di-alta-qualit",1
"246","di-bell'aspett",1
"247","di-cuor",1
"248","di-fam-mondiale?",1
"249","di-luss",1
"250","di-moda?",1
"251","di-prim-qualit",1
"252","di-princip",1
"253","di-rispost",1
"254","di-success",1
"255","difensor",1
"256","dignit",1
"257","diligent",1
"258","dinam",1
"259","diplomat",1
"260","dispon",1
"261","dispost",1
"262","distint",1
"263","distinzion",1
"264","divertent",1
"265","divert",1
"266","divin",1
"267","dolc",1
"268","dolcement",1
"269","dolcezz",1
"270","domin",1
"271","don-t-kill",1
"272","dot",1
"273","duratur",1
"274","durevol",1
"275","ebbrezz",1
"276","eccell",1
"277","eccellent",1
"278","eccels",1
"279","eccezional",1
"280","eccit",1
"281","econom",1
"282","edific",1
"283","educ",1
"284","efficac",1
"285","efficient",1
"286","efficient-energet",1
"287","elast",1
"288","eleg",1
"289","elegant",1
"290","elettrific",1
"291","elev",1
"292","elog",1
"293","eloquent",1
"294","eminent",1
"295","emozionante?",1
"296","emozionant",1
"297","emozion",1
"298","empat",1
"299","empatizz",1
"300","encom",1
"301","energet",1
"302","energ",1
"303","entusiasm",1
"304","entusiast",1
"305","equilibr",1
"306","equilibrio?",1
"307","equit",1
"308","equo",1
"309","ergonom",1
"310","ero",1
"311","eroic",1
"312","eroin",1
"313","erud",1
"314","esalt",1
"315","esempl",1
"316","esilar",1
"317","espans",1
"318","esser-allegr",1
"319","estas",1
"320","estat",1
"321","esuber",1
"322","esult",1
"323","etern",1
"324","etic",1
"325","eufor",1
"326","evoc",1
"327","fabbric",1
"328","facil",1
"329","facil-da-usar",1
"330","facilit",1
"331","fam",1
"332","famos",1
"333","fan",1
"334","fanfar",1
"335","fantas",1
"336","fantast",1
"337","fascin",1
"338","fattibil",1
"339","faust",1
"340","favol",1
"341","favorevol",1
"342","favor",1
"343","fecond",1
"344","fed",1
"345","fedel",1
"346","fedelt",1
"347","felic",1
"348","fenomenal",1
"349","fertil",1
"350","fervent",1
"351","fervid",1
"352","fervor",1
"353","fest",1
"354","fid",1
"355","fiduc",1
"356","fier",1
"357","fighissim",1
"358","fig",1
"359","fin",1
"360","finement",1
"361","fior",1
"362","fiorent",1
"363","flessibil",1
"364","fluent",1
"365","focos",1
"366","follegg",1
"367","formicol",1
"368","formid",1
"369","fort",1
"370","fortuit",1
"371","fortu",1
"372","fortun",1
"373","forz-d'anim",1
"374","fratern",1
"375","freschissim",1
"376","fresc",1
"377","frugal",1
"378","fulgor",1
"379","futurist",1
"380","futur",1
"381","galant",1
"382","gallegg",1
"383","garant",1
"384","garanz",1
"385","gemm",1
"386","gener",1
"387","generos",1
"388","genial",1
"389","gen",1
"390","gentilezz",1
"391","gentil",1
"392","giocos",1
"393","gioi",1
"394","gioios",1
"395","giovanil",1
"396","giovial",1
"397","giubil",1
"398","giudiz",1
"399","giust",1
"400","giustezz",1
"401","giustiz",1
"402","global",1
"403","glor",1
"404","glorific",1
"405","glorios",1
"406","god",1
"407","gradevol",1
"408","grad",1
"409","grand",1
"410","grand-capac",1
"411","grandezz",1
"412","grandin",1
"413","grandios",1
"414","gratif",1
"415","gratific",1
"416","gratitudin",1
"417","grat",1
"418","gratu",1
"419","graz",1
"420","Graz-a-dio",1
"421","grazios",1
"422","guadagn",1
"423","guar",1
"424","guid",1
"425","gust",1
"426","gustos",1
"427","hah",1
"428","happ",1
"429","happy",1
"430","happy-birthday",1
"431","hot",1
"432","i-lov-you",1
"433","ideal",1
"434","idealizz",1
"435","idilliac",1
"436","idolatr",1
"437","idol",1
"438","il-mio-amor",1
"439","illimit",1
"440","illumin",1
"441","illustr",1
"442","imbatt",1
"443","immacol",1
"444","immediat",1
"445","immens",1
"446","imparegg",1
"447","imparzial",1
"448","imparzialitàfin qu",1
"449","impavid",1
"450","impecc",1
"451","impeccabil",1
"452","impegn",1
"453","imper",1
"454","imperterr",1
"455","imperturb",1
"456","imponent",1
"457","import",1
"458","impres",1
"459","impression",1
"460","in-mod-sicur",1
"461","in-omagg",1
"462","in-particol",1
"463","inattacc",1
"464","incant",1
"465","incantevol",1
"466","incondizion",1
"467","incoragg",1
"468","incred",1
"469","incredibil",1
"470","incroll",1
"471","indenn",1
"472","indimentic",1
"473","indiscuss",1
"474","indiscut",1
"475","indiscutibil",1
"476","individualizz",1
"477","indolor",1
"478","indulgent",1
"479","industr",1
"480","inebr",1
"481","ineguagl",1
"482","inequivoc",1
"483","inequivocabil",1
"484","inestim",1
"485","inestimabil",1
"486","infall",1
"487","infallibil",1
"488","influent",1
"489","influenz",1
"490","ingegn",1
"491","ingegnos",1
"492","ingenu",1
"493","innamor",1
"494","innocent",1
"495","innocu",1
"496","innov",1
"497","inossid",1
"498","insostitu",1
"499","intatt",1
"500","integral",1
"501","integr",1
"502","intelligent",1
"503","intellig",1
"504","intenzional",1
"505","interess",1
"506","intim",1
"507","intraprendent",1
"508","intratten",1
"509","intrattien",1
"510","intrepid",1
"511","intric",1
"512","intrig",1
"513","intuit",1
"514","invent",1
"515","invinc",1
"516","invincibil",1
"517","inviol",1
"518","invulner",1
"519","ipnotizz",1
"520","irreal",1
"521","irreprens",1
"522","irresist",1
"523","irresistibil",1
"524","ispir",1
"525","istru",1
"526","istrutt",1
"527","kiss",1
"528","labor",1
"529","lavor-dur",1
"530","lavor",1
"531","leal",1
"532","legal",1
"533","leggendar",1
"534","leggerezz",1
"535","leggiadr",1
"536","leggibil",1
"537","legittim",1
"538","len",1
"539","liber",1
"540","libert",1
"541","lin",1
"542","lod",1
"543","lodevol",1
"544","logic",1
"545","lol",1
"546","lov",1
"547","lov-u",1
"548","lov-you",1
"549","low-cost",1
"550","low-priced",1
"551","luccic",1
"552","lucent",1
"553","lucentezz",1
"554","lucid",1
"555","lumin",1
"556","lusinghier",1
"557","luss",1
"558","lussuos",1
"559","lussuregg",1
"560","lustr",1
"561","maest",1
"562","maestos",1
"563","maggior",1
"564","mag",1
"565","magic",1
"566","magistral",1
"567","magnanim",1
"568","magnif",1
"569","magnificent",1
"570","maneggevol",1
"571","mann",1
"572","matur",1
"573","megl",1
"574","megl-del-previst",1
"575","memor",1
"576","Men-stress",1
"577","meravigl",1
"578","meritat",1
"579","meritevol",1
"580","mer",1
"581","meritor",1
"582","meticol",1
"583","miglior",1
"584","miglior-performanc",1
"585","miracol",1
"586","misericord",1
"587","mit",1
"588","mod",1
"589","modern",1
"590","modest",1
"591","molt-acut",1
"592","molt-ben",1
"593","monumental",1
"594","moral",1
"595","morbid",1
"596","motiv",1
"597","moviment",1
"598","mozzaf",1
"599","multius",1
"600","munif",1
"601","navig",1
"602","nett",1
"603","nitid",1
"604","nobil",1
"605","nobilit",1
"606","Non-si-applic-restrizion",1
"607","non-violent",1
"608","non-violenz",1
"609","notevol",1
"610","not",1
"611","notor",1
"612","novit",1
"613","nuov-di-zecc",1
"614","nutrient",1
"615","nutr",1
"616","oas",1
"617","omagg",1
"618","onest",1
"619","onor",1
"620","onorevol",1
"621","opportun",1
"622","opulent",1
"623","ordinat",1
"624","ordin",1
"625","orecc",1
"626","orgogl",1
"627","original",1
"628","oro",1
"629","ospital",1
"630","ottimal",1
"631","ottim",1
"632","ovazion",1
"633","pac",1
"634","pacif",1
"635","padron",1
"636","panoram",1
"637","paradis",1
"638","parsimon",1
"639","passional",1
"640","passion",1
"641","patriot",1
"642","patriott",1
"643","patt",1
"644","pazient",1
"645","pazienz",1
"646","peacekeeper",1
"647","pensier",1
"648","pensos",1
"649","perd",1
"650","perfett",1
"651","perfezion",1
"652","permett",1
"653","persever",1
"654","personalizz",1
"655","perspicac",1
"656","piac",1
"657","piacevol",1
"658","piacevolezz",1
"659","pien-di-risors",1
"660","pien-di-speranz",1
"661","pittoresc",1
"662","più-bell",1
"663","più-cald",1
"664","più-felic",1
"665","più-fortun",1
"666","più-intelligent",1
"667","più-morbid",1
"668","più-not",1
"669","più-pul",1
"670","più-ricc",1
"671","più-sald",1
"672","più-veloc",1
"673","poeticizz",1
"674","poetic",1
"675","popol",1
"676","port",1
"677","port-di-man",1
"678","posit",1
"679","potent",1
"680","predilezion",1
"681","prefer",1
"682","preferibil",1
"683","prem",1
"684","preminent",1
"685","premur",1
"686","prestig",1
"687","prezios",1
"688","primar",1
"689","Prim-in-class",1
"690","privileg",1
"691","priv-di-risc",1
"692","prodezz",1
"693","prodig",1
"694","produtt",1
"695","profession",1
"696","profond",1
"697","profumat",1
"698","profusion",1
"699","progress",1
"700","prolif",1
"701","promess",1
"702","promettent",1
"703","prominent",1
"704","promotor",1
"705","pront",1
"706","propiziator",1
"707","propiz",1
"708","prosper",1
"709","protegg",1
"710","protett",1
"711","protezion",1
"712","prov",1
"713","provvident",1
"714","prudent",1
"715","prudenz",1
"716","pul",1
"717","puliz",1
"718","puntual",1
"719","purific",1
"720","pur",1
"721","qualific",1
"722","qui",1
"723","raccomand",1
"724","raddrizz",1
"725","raffin",1
"726","raffinatezz",1
"727","raggiant",1
"728","raggiung",1
"729","ragionevol",1
"730","rallegr",1
"731","rapid-cresc",1
"732","rapid",1
"733","rapport",1
"734","rassicur",1
"735","ravviv",1
"736","razional",1
"737","realizz",1
"738","recuper",1
"739","redentr",1
"740","regal",1
"741","registr-lavor",1
"742","regol",1
"743","resistent",1
"744","responsabilizz",1
"745","responsabil",1
"746","restaur",1
"747","retribu",1
"748","rett",1
"749","riafferm",1
"750","rianim",1
"751","ricc",1
"752","ricchezz",1
"753","ricc-di-funzional",1
"754","ricett",1
"755","ricompens",1
"756","riconcil",1
"757","riconduc",1
"758","riconoscent",1
"759","riconosc",1
"760","riduzion-dell-stress",1
"761","riesc",1
"762","rid",1
"763","riform",1
"764","rigener",1
"765","riguard",1
"766","rilass",1
"767","rimbors",1
"768","rimed",1
"769","rinasc",1
"770","rinfranc",1
"771","rinfresc",1
"772","ringiovan",1
"773","ringraz",1
"774","rinnov",1
"775","rinvigor",1
"776","ripos",1
"777","riscatt",1
"778","risolutezz",1
"779","risol",1
"780","risp",1
"781","risparm",1
"782","risparm-di-cost",1
"783","risparm-energet",1
"784","rispett",1
"785","rispett-dell-legg",1
"786","risplendent",1
"787","ristruttur",1
"788","riusc",1
"789","rivel",1
"790","riverent",1
"791","river",1
"792","riviv",1
"793","rivoluzion",1
"794","rivoluzionar",1
"795","robust",1
"796","romant",1
"797","rose",1
"798","sagac",1
"799","saggement",1
"800","saggezz",1
"801","sagg",1
"802","salubr",1
"803","salut",1
"804","sal",1
"805","salvator",1
"806","salvav",1
"807","san",1
"808","san-di-ment",1
"809","santific",1
"810","santit",1
"811","sant",1
"812","sapient",1
"813","sbalordit",1
"814","sbalord",1
"815","scenic",1
"816","sciccos",1
"817","scintill",1
"818","sconfigg",1
"819","sconfitt",1
"820","scopert",1
"821","semplic",1
"822","semplif",1
"823","semplific",1
"824","sensazional",1
"825","sensazion",1
"826","sensibil",1
"827","sentimental",1
"828","senz-dolor",1
"829","senz-dubb",1
"830","senz-paur",1
"831","senz-problem",1
"832","senz-restrizion",1
"833","senz-rival",1
"834","senz-sforz",1
"835","seren",1
"836","seriet",1
"837","sexy",1
"838","sfarz",1
"839","sicur",1
"840","signif",1
"841","simpat",1
"842","sincer",1
"843","soav",1
"844","soavement",1
"845","socievol",1
"846","soddisf",1
"847","soddisfacent",1
"848","soddisfatt",1
"849","solid",1
"850","solidariet",1
"851","sollet",1
"852","sollev",1
"853","soll",1
"854","sonor",1
"855","sontuos",1
"856","sorprendent",1
"857","sorrid",1
"858","sorrident",1
"859","sorris",1
"860","sostanzial",1
"861","sostegn",1
"862","sosten",1
"863","sostenibil",1
"864","sostenitor",1
"865","sovraperform",1
"866","sovvenzion",1
"867","spazios",1
"868","specializz",1
"869","spensier",1
"870","spettacol",1
"871","spin-dorsal",1
"872","spint",1
"873","spirit",1
"874","spiritual",1
"875","splendid",1
"876","splendor",1
"877","spontane",1
"878","sport",1
"879","squisit",1
"880","squis",1
"881","stabil",1
"882","stabilizz",1
"883","staccabil",1
"884","stagion",1
"885","statuar",1
"886","stell",1
"887","stilizz",1
"888","stimol",1
"889","stord",1
"890","straordinar",1
"891","strumental",1
"892","stupend",1
"893","stup",1
"894","stupor",1
"895","stuzzic",1
"896","sublim",1
"897","success",1
"898","successon",1
"899","sufficient",1
"900","super",1
"901","super-in-astuz",1
"902","superb",1
"903","superior",1
"904","superst",1
"905","support",1
"906","suprem",1
"907","supremaz",1
"908","surreal",1
"909","svolazz",1
"910","talent",1
"911","talentu",1
"912","tant-megl",1
"913","tempest",1
"914","temp-onor",1
"915","tenac",1
"916","tener",1
"917","tent",1
"918","tesor",1
"919","titill",1
"920","toccasan",1
"921","toller",1
"922","tonific",1
"923","ton-rassicur",1
"924","top",1
"925","tranquill",1
"926","trasparent",1
"927","tregu",1
"928","tremend",1
"929","trionfal",1
"930","trionfant",1
"931","trionf",1
"932","trofe",1
"933","tutt-il-suo-fascin",1
"934","tutt-tond",1
"935","ultra-nitid",1
"936","uman",1
"937","umil",1
"938","umilt",1
"939","umor",1
"940","umorist",1
"941","unit",1
"942","urrà",1
"943","user-friendly",1
"944","util",1
"945","utilizz",1
"946","val-la-pen",1
"947","valent",1
"948","valor",1
"949","vantagg",1
"950","varieg",1
"951","variet",1
"952","veloc",1
"953","vener",1
"954","verac",1
"955","verific",1
"956","veritier",1
"957","ver",1
"958","vers",1
"959","versatil",1
"960","vibrant",1
"961","vigil",1
"962","vigor",1
"963","vinc",1
"964","vincitor",1
"965","virtuos",1
"966","vistos",1
"967","vittor",1
"968","vivac",1
"969","vivid",1
"970","volentier",1
"971","zel",1
"972","zenit",1
"973","emotegood",1
"974","emotelov",1
"975","emotewink",1
"976","emotekiss",1
"977","emotewow",1
"978","emotelol",1
"979","emoteeheh",1
"980","emoteah",1
